Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://newsroom.upscrolled.com/blog-posts/view/5831/palestinian-owned-upscrolled-cracks-apple-app-store-top-11,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.835,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5835/who-founded-upscrolled-social-media-app-developed-in-australia-sees-surge-in-downloads-after-larry-ellisons-oracle-acquires-tiktok-in-the-us,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.588,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5836/palestinian-founded-app-upscrolled-downloads-surge-after-tiktok-announces-partial-ownership-by-zionist-billionaire,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.829,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5837/tiktok-users-switch-to-upscrolled-amid-new-us-moderation-rules-and-content-restrictions,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.901,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5844/tiktok-competitor-upscrolled-surges-on-app-store-amid-allegations-tiktok-suppresses-anti-ice-videos,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.734,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5846/upscrolled-gains-popularity-as-users-seek-alternative-platform-amid-tiktok-outage,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.697,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5847/why-upscrolled-is-trending-as-frustrated-users-leave-tiktok,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.588,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5848/palestinian-founded-upscrolled-surges-to-no-2-on-apple-app-store,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.734,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5849/social-app-upscrolled-downloads-soar-2850-after-tiktok-us-deal,,11,0.003445205352746713,n/a,2,200,0.263,0,0,1,0,0,-,0,1,6,1,0,-,-,30,651,54,-,
https://newsroom.upscrolled.com/blog-posts/view/5850/who-is-issam-hijazi-upscrolled-creator-gains-spotlight-as-tiktok-users-seek-alternatives,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.784,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5855/upscrolled-hits-no-2-in-the-uk-as-tiktok-censorship-backlash-grows,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.712,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5856/tiktok-backlash-fuels-sudden-surge-in-little-known-australian-social-app,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.786,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5862/the-app-that-frustrated-us-tiktok-users-are-turning-to,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.8,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5864/tiktoks-bad-week-becomes-upscrolleds-big-break-as-outage-and-suppression-claims-push-users-to-explore-alternatives,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.651,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5865/upscrolled-wins-support-from-pro-palestinian-users-as-tiktok-alternative,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.603,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5866/social-network-upscrolled-sees-surge-in-downloads-following-tiktoks-us-takeover-beritaja,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.785,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5868/upscrolled-and-skylight-rising-users-race-to-tiktok-alternatives-after-us-takeover,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.802,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5870/tiktok-rivals-skylight-and-upscrolled-see-surge-in-downloads-amid-trump-backlash,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.937,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5872/tiktok-rivals-skylight-and-upscrolled-see-surge-in-downloads-amid-trump-backlash,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.767,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5873/what-is-upscrolled-app-more-popular-than-tiktok-in-apple-app-store,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.76,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5874/what-is-upscrolled-the-video-app-soaring-past-tiktok-amid-censorship-fears,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.661,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5875/palestinian-app-upscrolled-climbs-to-1-in-apples-app-store-social-rankings,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.751,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5876/what-is-upscrolled-social-media-app-soars-up-apple-charts-after-tiktoks-us-takeover,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.518,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5877/why-millions-are-ditching-tiktok-for-upscrolled-right-now-heres-what-you-need-to-know,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.845,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/view/5878/pro-palestinian-app-upscrolled-tops-charts-as-users-flee-pro-zionist-tiktok,UpScrolled Media Centre,11,0.003445205352746713,n/a,2,200,0.688,0,0,1,0,0,-,0,1,12,5,0,-,-,30,651,55,-,
https://newsroom.upscrolled.com/blog-posts/download-all/5820/blog-posts/view/5820/why-silicon-valley-doesnt-get-to-decide-the-future-of-social-media,,9,0.0034428056066469134,n/a,2,200,0.836,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/blog-posts/view/5820/{{fileLink}},,9,0.0034428056066469134,n/a,2,200,0.374,0,0,1,0,0,-,0,1,4,1,0,-,-,26,618,46,-,
https://newsroom.upscrolled.com/company-files/download/47557/blog-posts/view/5820/why-silicon-valley-doesnt-get-to-decide-the-future-of-social-media,UpScrolled Media Centre,9,0.0034428056066469134,n/a,2,200,0.469,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/company-files/download/47558/blog-posts/view/5820/why-silicon-valley-doesnt-get-to-decide-the-future-of-social-media,UpScrolled Media Centre,9,0.0034428056066469134,n/a,2,200,0.206,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/blog-posts/download-all/5818/blog-posts/view/5818/shadowbanning-explained-the-invisible-censorship-killing-online-discourse,UpScrolled Media Centre,7,0.003435231614589493,n/a,2,200,0.413,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/blog-posts/view/5818/{{fileLink}},,7,0.003435231614589493,n/a,2,200,0.432,0,0,1,0,0,-,0,1,9,3,0,-,-,30,651,59,-,
https://newsroom.upscrolled.com/company-files/download/47449/blog-posts/view/5818/shadowbanning-explained-the-invisible-censorship-killing-online-discourse,,7,0.003435231614589493,n/a,2,200,0.373,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/company-files/download/47450/blog-posts/view/5818/shadowbanning-explained-the-invisible-censorship-killing-online-discourse,UpScrolled Media Centre,7,0.003435231614589493,n/a,2,200,0.536,0,0,0,0,0,-,0,1,1,0,0,-,-,14,195,22,-,
https://newsroom.upscrolled.com/{{fileLink}},UpScrolled Media Centre,4,0.0034270431471726697,n/a,1,200,0.692,0,0,1,0,0,-,0,4,20,5,0,-,-,32,640,68,-,
https://newsroom.upscrolled.com/newsroom.upscrolled.com,UpScrolled Media Centre,2,0.0034242455609300782,n/a,1,200,0.655,0,0,1,0,0,-,0,4,19,5,0,-,-,32,640,68,-,
https://newsroom.upscrolled.com/,UpScrolled Media Centre,0,0.0,n/a,0,200,0.711,0,0,1,0,0,-,0,0,20,5,0,-,-,32,640,69,-,
https://newsroom.upscrolled.com/{{link}},UpScrolled Media Centre,0,0.0,n/a,0,200,0.614,0,0,1,0,0,-,0,0,20,5,0,-,-,32,640,68,-,
https://newsroom.upscrolled.com/{{url}},UpScrolled Media Centre,0,0.0,n/a,0,200,0.612,0,0,1,0,0,-,0,0,20,5,0,-,-,32,640,68,-,
https://newsroom.upscrolled.com/llms.txt,,-,-,n/a,0,200,0.842,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,1,-,
https://newsroom.upscrolled.com/robots.txt,,-,-,n/a,0,200,0.62,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,2,-,n/a
https://newsroom.upscrolled.com/sitemap.xml,,-,-,n/a,0,200,0.279,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,
